hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
Moose - Statewide Permit,MB1000,5133,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB1000,5133,Bull,Moose,Any Legal Weapon,Statewide,"Sept 1 - Nov 15, 2026",,,1,TOTAL_ONLY,2026 MOOSE BULL O.I.L.xlsx,2
Cache,MB6000,29,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6000,29,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,14,3,17,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,3
Chalk Creek,MB6001,69,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6001,69,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,4,0,4,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,4
East Canyon,MB6002,276,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6002,276,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,5,0,5,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,5
"East Canyon, Morgan-Summit",MB6003,79,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6003,79,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,5,0,5,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,6
Kamas,MB6004,611,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6004,611,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,6,0,6,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,7
Morgan-South Rich,MB6005,117,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6005,117,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,6,0,6,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,8
"North Slope, Summit",MB6006,138,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6006,138,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,20,3,23,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,9
"North Slope, Three Corners/West Daggett",MB6007,289,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6007,289,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,6,2,8,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,10
Ogden,MB6008,609,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6008,609,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,7,0,7,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,11
Diamond Mtn/Vernal,MB6009,452,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6009,452,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,2,0,2,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,12
Yellowstone,MB6010,613,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6010,613,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,6,0,6,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,13
Wasatch Mtns/Central Mtns,MB6011,743,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6011,743,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,19,3,22,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,14
Box Elder,MB6012,607,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6012,607,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,2,0,2,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,15
Beaver Hollow CWMU,MB6201,561,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6201,561,Bull,Moose,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,1,0,1,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,16
Causey Spring CWMU,MB6202,560,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6202,560,Bull,Moose,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,1,0,1,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,17
Deseret CWMU,MB6206,568,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6206,568,Bull,Moose,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,1,0,1,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,18
East Fork Chalk Creek CWMU,MB6208,520,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6208,520,Bull,Moose,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,2,0,2,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,19
Grass Valley/Clark Canyon CWMU,MB6211,525,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6211,525,Bull,Moose,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,4,0,4,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,20
Skull Crack CWMU,MB6219,578,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6219,578,Bull,Moose,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,2,0,2,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,21
Strawberry Ridge CWMU,MB6222,562,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6222,562,Bull,Moose,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,1,0,1,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,22
Hardscrabble CWMU,MB6251,577,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6251,577,Bull,Moose,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,1,0,1,FULL_SPLIT,2026 MOOSE BULL O.I.L.xlsx,23
